WGU Course,WGU Course Name,External Course,Provider,Transfer Status
C280,Probability and Statistics I,MAT202 (OOSL-0070),Straighterline,No
C280,Probability and Statistics I,STAT1001 (SOPH-0005),Sophia,No
C280,Probability and Statistics I,Statistics 101 (SDCM-0068),Study,No
C280,Probability and Statistics I,Business 212 (SDCM-0225),Study,No
C282,Calculus I,Math 104 (SDCM-0016),Study,No
C283,Calculus II,MAT251 (OOSL-0019),Straighterline,No
C373,General Chemistry I with Lab,CHEM101 (OOSL-0015) and CHEM101L (OOSL-0016),Straighterline,No
C373,General Chemistry I with Lab,Chemistry 111L (SDCM-0194),Study,No
C374,General Chemistry II with Lab,Chemistry 112L (SDCM-0195),Study,No
C375,Survey of World History,CIV101 (OOSL-0040),Straighterline,No
C375,Survey of World History,CIV102 (OOSL-0043),Straighterline,No
C375,Survey of World History,CIV103 (OOSL-0092),Straighterline,No
C375,Survey of World History,DLSI-0033 Western Civilization I: Ancient Near East Through 1648,DLSI,No
C375,Survey of World History,History 100 (SDCM-0154),Study,No
C375,Survey of World History,History 101 (SDCM-0011),Study,No
C375,Survey of World History,History 102 (SDCM-0038),Study,No
C393,IT Foundations,A+ 1001 - Foundations,Comptia,No
C393,IT Foundations,IT Support,Per Scholas,No
C393,IT Foundations,Network Support,Per Scholas,No
C394,IT Applications,A+ 1002 - Applications,Comptia,No
C394,IT Applications,IT Support,Per Scholas,No
C394,IT Applications,Network Support,Per Scholas,No
C405,Anatomy and Physiology II,BIO202 (OOSL-0030) and BIO202L (OOSL-0084),Straighterline,No
C405,Anatomy and Physiology II,BIOL1421,Concorde,No
C405,Anatomy and Physiology II,DLSI-0037 Anatomy and Physiology II & DLSI-0038 Anatomy and Physiology II Lab,DLSI,No
C405,Anatomy and Physiology II,Biology 202L (SDCM-0247),Study,No
C453,Clinical Microbiology,BIO250 (OOSL-0047) and  BIO250L (OOSL-0086),Straighterline,No
C453,Clinical Microbiology,DLSI-0013 Microbiology & DLSI-0039 Microbiology Lab,DLSI,No
C453,Clinical Microbiology,Biology 101 (SDCM-0001),Study,No
C453,Clinical Microbiology,Biology 101L (SDCM-0188),Study,No
C455,English Composition I,DLSI-0017 English Composition 1,DLSI,No
C455,English Composition I,ENG0050 (SOPH-0019),Sophia,No
C455,English Composition I,ENG1001 (SOPH-0015),Sophia,No
C455,English Composition I,ENG101,WGU Academy,No
C455,English Composition I,ENG101 (OOSL-0005),Straighterline,No
C455,English Composition I,ENGL001 (SAYA-0042),Saylor,No
C455,English Composition I,ENGL1310,Concorde,No
C455,English Composition I,English 104 (SDCM-0057),Study,No
C455,English Composition I,English 204 (SDCM-0244),Study,No
C456,English Composition II,DLSI-0018 English Composition 2,DLSI,No
C456,English Composition II,ENG 1020 (SOPH-0049),Sophia,No
C456,English Composition II,ENG1002 (SOPH-0030),Sophia,No
C456,English Composition II,ENG102 (OOSL-0006),Straighterline,No
C456,English Composition II,English 105 (SDCM-0089),Study,No
C456,English Composition II,English 205 (SDCM-0245),Study,No
C458,"Health, Fitness, and Wellness",Health 101 (SDCM-0032),Study,No
C458,"Health, Fitness, and Wellness",Nutrition 101 (SDCM-0034),Study,No
C458,"Health, Fitness, and Wellness",DLSI-0007 Health and Human Development,DLSI,No
C458,"Health, Fitness, and Wellness",DLSI-0026 Nutrition,DLSI,No
C458,"Health, Fitness, and Wellness",NUTRI101 (OOSL-0034),Straighterline,No
C464,Introduction to Communication,BUS105 (OOSL-0014),Straighterline,No
C464,Introduction to Communication,Business Communication Skills for Manager,Retail Mgt Cert,No
C464,Introduction to Communication,COM101 (OOSL-0052),Straighterline,No
C464,Introduction to Communication,COMM001 (SAYA-0010),Saylor,No
C464,Introduction to Communication,COMM1002 (SOPH-0024),Sophia,No
C464,Introduction to Communication,COMM1010 (SOPH-0034),Sophia,No
C464,Introduction to Communication,Communications 101 (SDCM-0055),Study,No
C464,Introduction to Communication,Communications 102 (SDCM-0122),Study,No
C464,Introduction to Communication,Communications 301 (SDCM-0187),Study,No
C464,Introduction to Communication,DLSI-0029 Fundamentals of Public Speaking,DLSI,No
C464,Introduction to Communication,PACA 101,WGU Academy,No
C464,Introduction to Communication,SPAN101 (OOSL-0067),Straighterline,No
C464,Introduction to Communication,SPAN102 (OOSL-0068),Straighterline,No
C464,Introduction to Communication,Spanish 101 (SDCM-0104),Study,No
C464,Introduction to Communication,Spanish 102 (SDCM-0113),Study,No
C464,Introduction to Communication,Spanish 105 (SDCM-0080),Study,No
C464,Introduction to Communication,Business 113 (SDCM-0052),Study,No
C464,Introduction to Communication,Business 324 (SDCM-0140),Study,No
C464,Introduction to Communication,PACA101,WGU Academy,No
C464,Introduction to Communication,COM101,WGU Academy,No
C467,Pharmacology,DLSI-0034 Pharmacology,DLSI,No
C467,Pharmacology,PHARM103 (OOSL-0101),Straighterline,No
C480,Networks,Network+,Comptia,No
C483,Principles of Management,ACQ 453 (DAU-0274) & ACQ 450 (DAU-0271),DAU,No
C483,Principles of Management,BUS201 (OOSL-0051),Straighterline,No
C483,Principles of Management,BUS208 (SAYA 0035),Saylor,No
C483,Principles of Management,BUS208 (SAYA-0035),Saylor,No
C483,Principles of Management,BUSI1013 (SOPH-0054),Sophia,No
C483,Principles of Management,Business 101 (SDCM-0006),Study,No
C483,Principles of Management,Business 302 (SDCM-0116),Study,No
C483,Principles of Management,DLSI-0014 Principles of Management,DLSI,No
C483,Principles of Management,PMT 252 (DAU-0300) & PMT 257 (DAU-0301),DAU,No
C483,Principles of Management,Principles of Management,Retail Mgt Cert,No
C484,Organizational Behavior and Leadership,BUS120 (OOSL-0042),Straighterline,No
C484,Organizational Behavior and Leadership,BUS209 (SAYA 0034),Saylor,No
